DATETIME,open,high,low,QUANTITY,1,2,3,4,5,6,7,8,9,10,11,12,RATE,IBS
2022-02-17 09:55:00,177.1,177.2,176.95999999999998,-1401,-1401.0,-150.0,-4470.0,-4427.0,-4930.0,-11588.0,-25907.0,-23838.0,-27689.0,-27504.0,-26441.0,-18974.0,176.99,0.12500000000011843
2022-02-17 10:00:00,177.07999999999998,177.23,176.86,448,448.0,-953.0,298.0,-4022.0,-3979.0,-4482.0,-11140.0,-25459.0,-23390.0,-27241.0,-27056.0,-25993.0,176.92000000000002,0.16216216216217877
2022-02-17 10:05:00,176.92000000000002,177.2,176.89,5674,5674.0,6122.0,4721.0,5972.0,1652.0,1695.0,1192.0,-5466.0,-19785.0,-17716.0,-21567.0,-21382.0,176.9,0.03225806451619114
2022-02-17 10:10:00,176.89,177.03,176.79,1417,1417.0,7091.0,7539.0,6138.0,7389.0,3069.0,3112.0,2609.0,-4049.0,-18368.0,-16299.0,-20150.0,176.9,0.4583333333333728
2022-02-17 10:15:00,176.92000000000002,176.99,176.63,-1451,-1451.0,-34.0,5640.0,6088.0,4687.0,5938.0,1618.0,1661.0,1158.0,-5500.0,-19819.0,-17750.0,176.81,0.5
2022-02-17 10:20:00,176.8,177.26,176.8,7026,7026.0,5575.0,6992.0,12666.0,13114.0,11713.0,12964.0,8644.0,8687.0,8184.0,1526.0,-12793.0,177.13,0.7173913043478234
2022-02-17 10:25:00,177.12,177.28,177.12,-354,-354.0,6672.0,5221.0,6638.0,12312.0,12760.0,11359.0,12610.0,8290.0,8333.0,7830.0,1172.0,177.13,0.06249999999994449
2022-02-17 10:30:00,177.17000000000002,177.2,177.0,-6095,-6095.0,-6449.0,577.0,-874.0,543.0,6217.0,6665.0,5264.0,6515.0,2195.0,2238.0,1735.0,177.05,0.25000000000007105
2022-02-17 10:35:00,177.06,177.37,176.99,-12275,-12275.0,-18370.0,-18724.0,-11698.0,-13149.0,-11732.0,-6058.0,-5610.0,-7011.0,-5760.0,-10080.0,-10037.0,177.15,0.42105263157894346
2022-02-17 10:40:00,177.15,177.23,176.83,-12993,-12993.0,-25268.0,-31363.0,-31717.0,-24691.0,-26142.0,-24725.0,-19051.0,-18603.0,-20004.0,-18753.0,-23073.0,176.95999999999998,0.32499999999993606
2022-02-17 10:45:00,176.97,177.0,176.71,-3144,-3144.0,-16137.0,-28412.0,-34507.0,-34861.0,-27835.0,-29286.0,-27869.0,-22195.0,-21747.0,-23148.0,-21897.0,177.0,1.0
2022-02-17 10:50:00,177.08999999999997,177.26,176.94,-3235,-3235.0,-6379.0,-19372.0,-31647.0,-37742.0,-38096.0,-31070.0,-32521.0,-31104.0,-25430.0,-24982.0,-26383.0,177.09,0.46875000000002776
2022-02-17 10:55:00,177.12,177.24,176.95999999999998,-7050,-7050.0,-10285.0,-13429.0,-26422.0,-38697.0,-44792.0,-45146.0,-38120.0,-39571.0,-38154.0,-32480.0,-32032.0,176.95999999999998,0.0
2022-02-17 11:00:00,177.03,177.06,176.57999999999998,-4627,-4627.0,-11677.0,-14912.0,-18056.0,-31049.0,-43324.0,-49419.0,-49773.0,-42747.0,-44198.0,-42781.0,-37107.0,176.57999999999998,0.0
2022-02-17 11:05:00,176.54000000000002,176.59,176.19,-3404,-3404.0,-8031.0,-15081.0,-18316.0,-21460.0,-34453.0,-46728.0,-52823.0,-53177.0,-46151.0,-47602.0,-46185.0,176.19,0.0
2022-02-17 11:10:00,176.3,176.51999999999998,176.17000000000002,6549,6549.0,3145.0,-1482.0,-8532.0,-11767.0,-14911.0,-27904.0,-40179.0,-46274.0,-46628.0,-39602.0,-41053.0,176.45,0.8
2022-02-17 11:15:00,176.54000000000002,176.93,176.47,-10370,-10370.0,-3821.0,-7225.0,-11852.0,-18902.0,-22137.0,-25281.0,-38274.0,-50549.0,-56644.0,-56998.0,-49972.0,176.87,0.8695652173913017
2022-02-17 11:20:00,176.84,176.9,176.67,1005,1005.0,-9365.0,-2816.0,-6220.0,-10847.0,-17897.0,-21132.0,-24276.0,-37269.0,-49544.0,-55639.0,-55993.0,176.77,0.43478260869571667
2022-02-17 11:25:00,176.75,176.84,176.55,-1224,-1224.0,-219.0,-10589.0,-4040.0,-7444.0,-12071.0,-19121.0,-22356.0,-25500.0,-38493.0,-50768.0,-56863.0,176.57999999999998,0.10344827586197772
2022-02-17 11:30:00,176.55,176.82,176.55,2985,2985.0,1761.0,2766.0,-7604.0,-1055.0,-4459.0,-9086.0,-16136.0,-19371.0,-22515.0,-35508.0,-47783.0,176.82,1.0
2022-02-17 11:35:00,176.86,177.19,176.75,7875,7875.0,10860.0,9636.0,10641.0,271.0,6820.0,3416.0,-1211.0,-8261.0,-11496.0,-14640.0,-27633.0,177.16,0.9318181818181789
2022-02-17 11:40:00,177.15,177.26999999999998,177.01,2680,2680.0,10555.0,13540.0,12316.0,13321.0,2951.0,9500.0,6096.0,1469.0,-5581.0,-8816.0,-11960.0,177.26999999999998,1.0
2022-02-17 11:45:00,177.28,177.28,177.09,260,260.0,2940.0,10815.0,13800.0,12576.0,13581.0,3211.0,9760.0,6356.0,1729.0,-5321.0,-8556.0,177.12,0.15789473684211314
2022-02-17 11:50:00,177.17000000000002,177.23,177.07999999999998,-2602,-2602.0,-2342.0,338.0,8213.0,11198.0,9974.0,10979.0,609.0,7158.0,3754.0,-873.0,-7923.0,177.12,0.266666666666793
2022-02-17 11:55:00,177.06,177.14,177.01,-2184,-2184.0,-4786.0,-4526.0,-1846.0,6029.0,9014.0,7790.0,8795.0,-1575.0,4974.0,1570.0,-3057.0,177.03,0.15384615384623793
2022-02-17 12:00:00,177.10000000000002,177.14,176.98000000000002,-595,-595.0,-2779.0,-5381.0,-5121.0,-2441.0,5434.0,8419.0,7195.0,8200.0,-2170.0,4379.0,975.0,176.98000000000002,0.0
2022-02-17 12:05:00,176.89999999999998,176.95999999999998,176.75,6629,6629.0,6034.0,3850.0,1248.0,1508.0,4188.0,12063.0,15048.0,13824.0,14829.0,4459.0,11008.0,176.87,0.5714285714286488
2022-02-17 12:10:00,176.89,177.28,176.89,-3586,-3586.0,3043.0,2448.0,264.0,-2338.0,-2078.0,602.0,8477.0,11462.0,10238.0,11243.0,873.0,177.22,0.8461538461538461
2022-02-17 12:15:00,177.23,177.67,177.23,1400,1400.0,-2186.0,4443.0,3848.0,1664.0,-938.0,-678.0,2002.0,9877.0,12862.0,11638.0,12643.0,177.51999999999998,0.6590909090908944
2022-02-17 12:20:00,177.57999999999998,177.68,177.47,945,945.0,2345.0,-1241.0,5388.0,4793.0,2609.0,7.0,267.0,2947.0,10822.0,13807.0,12583.0,177.63,0.7619047619047168
2022-02-17 12:25:00,177.63,178.2,177.63,24904,24904.0,25849.0,27249.0,23663.0,30292.0,29697.0,27513.0,24911.0,25171.0,27851.0,35726.0,38711.0,178.2,1.0
